date,home,away,home_sp,away_sp,bet_side,dk_home,dk_away,dk_home_ml,dk_away_ml,poly_home,poly_away,lgb_home,lgb_away,kalshi_home,kalshi_away,edge,won,pnl,result
2025-07-24,HOU,ATH,Jason Alexander,Luis Severino,away,0.572,0.428,-150.0,123.0,,,0.455,0.545,0.59,0.41,0.135,1,0.59,away_win
2025-07-27,CWS,CHC,Grant Taylor,Ben Brown,home,0.398,0.602,140.0,-171.0,0.39,0.61,0.544,0.456,0.39,0.61,0.154,0,-0.39,away_win
2025-07-28,CIN,LAD,Chase Burns,Yoshinobu Yamamoto,home,0.421,0.579,127.0,-154.0,0.42,0.58,0.562,0.438,0.44,0.56,0.122,0,-0.44,away_win
2025-07-28,BAL,TOR,Zach Eflin,Chris Bassitt,away,0.484,0.516,-103.0,-118.0,0.49,0.51,0.374,0.626,0.5,0.5,0.126,0,-0.5,home_win
2025-07-28,SF,PIT,Carson Whisenhunt,Mitch Keller,away,0.55,0.45,-136.0,112.0,0.55,0.45,0.43,0.57,0.56,0.44,0.13,1,0.56,away_win
2025-07-28,KC,ATL,Rich Hill,Spencer Strider,home,0.462,0.538,103.0,-134.0,0.41,0.59,0.596,0.404,0.38,0.62,0.216,0,-0.38,away_win
2025-07-29,CIN,LAD,Nick Lodolo,Tyler Glasnow,home,0.439,0.561,114.0,-148.0,0.42,0.58,0.552,0.448,0.43,0.57,0.122,0,-0.43,away_win
2025-07-30,KC,ATL,Angel Zerpa,Joey Wentz,home,0.605,0.395,-181.0,138.0,0.53,0.47,0.65,0.35,0.53,0.47,0.12,1,0.47,home_win
2025-08-01,LAA,CWS,Tyler Anderson,Shane Smith,away,0.61,0.39,-186.0,141.0,0.55,0.45,0.433,0.567,0.55,0.45,0.117,1,0.55,away_win
2025-08-01,MIA,NYY,Janson Junk,Carlos Rodón,home,0.417,0.583,129.0,-157.0,,,0.563,0.437,0.41,0.59,0.153,1,0.59,home_win
2025-08-04,DET,MIN,Casey Mize,Travis Adams,away,0.624,0.376,-189.0,154.0,0.61,0.39,0.529,0.471,0.64,0.36,0.111,0,-0.36,home_win
2025-08-05,AZ,SD,Ryne Nelson,Yu Darvish,home,0.524,0.476,-126.0,-103.0,,,0.597,0.403,0.46,0.54,0.137,0,-0.46,away_win
2025-08-05,DET,MIN,Chris Paddack,Zebby Matthews,away,0.563,0.437,-144.0,118.0,0.57,0.43,0.424,0.576,0.57,0.43,0.146,1,0.57,away_win
2025-08-05,MIA,HOU,Cal Quantrill,Steven Okert,away,0.49,0.51,-106.0,-115.0,0.49,0.51,0.395,0.605,0.5,0.5,0.105,1,0.5,away_win
2025-08-06,DET,MIN,Jack Flaherty,Pierson Ohl,away,0.643,0.357,-206.0,167.0,0.63,0.37,0.557,0.443,0.66,0.34,0.103,1,0.66,away_win
2025-08-07,SEA,CWS,Logan Gilbert,Shane Smith,away,0.718,0.282,-303.0,238.0,,,0.576,0.424,0.72,0.28,0.144,0,-0.28,home_win
2025-08-09,SEA,TB,Logan Evans,Joe Boyle,away,0.572,0.428,-150.0,123.0,0.57,0.43,0.464,0.536,0.58,0.42,0.116,0,-0.42,home_win
2025-08-11,CWS,DET,Elvis Peguero,Chris Paddack,home,0.421,0.579,127.0,-154.0,0.42,0.58,0.596,0.404,0.43,0.57,0.166,0,-0.43,away_win
2025-08-11,LAA,LAD,José Soriano,Yoshinobu Yamamoto,home,0.414,0.586,127.0,-166.0,0.41,0.59,0.491,0.509,0.39,0.61,0.101,1,0.61,home_win
2025-08-11,STL,COL,Miles Mikolas,Chase Dollander,away,0.687,0.313,-272.0,200.0,0.65,0.35,0.549,0.451,0.66,0.34,0.111,0,-0.34,home_win
2025-08-12,CLE,MIA,Logan Allen,Janson Junk,away,0.552,0.448,-137.0,113.0,0.56,0.44,0.393,0.607,0.54,0.46,0.147,0,-0.46,home_win
2025-08-12,STL,COL,Matthew Liberatore,Kyle Freeland,away,0.416,0.584,126.0,-164.0,0.65,0.35,0.546,0.454,0.65,0.35,0.104,1,0.65,away_win
2025-08-12,CWS,DET,Yoendrys Gómez,Jack Flaherty,home,0.271,0.729,247.0,-346.0,0.4,0.6,0.5,0.5,0.39,0.61,0.11,1,0.61,home_win
2025-08-13,BAL,SEA,Trevor Rogers,Logan Gilbert,home,0.449,0.551,112.0,-137.0,0.45,0.55,0.598,0.402,0.44,0.56,0.158,1,0.56,home_win
2025-08-14,WSH,PHI,Brad Lord,Jesús Luzardo,home,0.419,0.581,124.0,-163.0,0.38,0.62,0.492,0.508,0.38,0.62,0.112,1,0.62,home_win
2025-08-17,MIN,DET,Thomas Hatch,Chris Paddack,home,0.479,0.521,-101.0,-121.0,0.49,0.51,0.581,0.419,0.47,0.53,0.111,1,0.53,home_win
2025-08-18,COL,LAD,Kyle Freeland,Yoshinobu Yamamoto,home,0.255,0.745,268.0,-381.0,0.28,0.72,0.39,0.61,0.28,0.72,0.11,1,0.72,home_win
2025-08-19,PIT,TOR,Mitch Keller,Max Scherzer,home,0.431,0.569,118.0,-154.0,0.45,0.55,0.547,0.453,0.43,0.57,0.117,0,-0.43,away_win
2025-08-20,MIN,ATH,Bailey Ober,J.T. Ginn,away,0.544,0.456,-138.0,106.0,,,0.4,0.6,0.54,0.46,0.14,1,0.54,away_win
2025-08-20,WSH,NYM,Brad Lord,Kodai Senga,home,0.383,0.617,145.0,-191.0,0.39,0.61,0.538,0.462,0.4,0.6,0.138,1,0.6,home_win
2025-08-20,MIA,STL,Sandy Alcantara,Andre Pallante,home,0.51,0.49,-119.0,-109.0,0.51,0.49,0.626,0.374,0.52,0.48,0.106,1,0.48,home_win
2025-08-20,DET,HOU,Charlie Morton,Framber Valdez,away,0.481,0.519,-105.0,-124.0,0.48,0.52,0.381,0.619,0.49,0.51,0.109,0,-0.51,home_win
2025-08-22,PHI,WSH,Taijuan Walker,Cade Cavalli,away,0.636,0.364,-199.0,162.0,0.65,0.35,0.471,0.529,0.64,0.36,0.169,1,0.64,away_win
2025-08-22,AZ,CIN,Ryne Nelson,Zack Littell,home,0.544,0.456,-133.0,109.0,0.56,0.44,0.666,0.334,0.55,0.45,0.116,1,0.45,home_win
2025-08-22,LAA,CHC,Tyler Anderson,Javier Assad,away,0.468,0.532,104.0,-126.0,0.47,0.53,0.354,0.646,0.46,0.54,0.106,1,0.46,away_win
2025-08-22,DET,KC,Casey Mize,Ryan Bergert,away,0.591,0.409,-163.0,133.0,0.59,0.41,0.477,0.523,0.59,0.41,0.113,0,-0.41,home_win
2025-08-23,DET,KC,Chris Paddack,Michael Wacha,away,0.532,0.468,-126.0,104.0,0.54,0.46,0.427,0.573,0.53,0.47,0.103,0,-0.47,home_win
2025-08-23,ATL,NYM,Cal Quantrill,Clay Holmes,away,0.479,0.521,-101.0,-121.0,0.49,0.51,0.356,0.644,0.49,0.51,0.134,1,0.49,away_win
2025-08-26,HOU,COL,Hunter Brown,Tanner Gordon,away,0.756,0.244,-379.0,291.0,0.77,0.23,0.66,0.34,0.77,0.23,0.11,1,0.77,away_win
2025-08-26,MIA,ATL,Sandy Alcantara,Hurston Waldrep,home,0.441,0.559,113.0,-147.0,0.46,0.54,0.602,0.398,0.47,0.53,0.132,0,-0.47,away_win
2025-08-27,ATH,DET,Luis Morales,Casey Mize,home,0.521,0.479,-124.0,-104.0,,,0.565,0.435,0.46,0.54,0.105,1,0.54,home_win
2025-08-27,SF,CHC,Carson Whisenhunt,Colin Rea,away,0.458,0.542,108.0,-132.0,0.46,0.54,0.359,0.641,0.46,0.54,0.101,0,-0.54,home_win
2025-08-28,STL,PIT,Miles Mikolas,Braxton Ashcraft,away,0.515,0.485,-122.0,-107.0,0.51,0.49,0.402,0.598,0.52,0.48,0.118,0,-0.48,home_win
2025-08-28,HOU,COL,Jason Alexander,Kyle Freeland,away,0.699,0.301,-291.0,212.0,0.68,0.32,0.547,0.453,0.7,0.3,0.153,0,-0.3,home_win
2025-08-29,MIN,SD,Zebby Matthews,Nestor Cortes,home,0.486,0.514,-107.0,-121.0,0.46,0.54,0.574,0.426,0.47,0.53,0.104,1,0.53,home_win
2025-08-29,BOS,PIT,Payton Tolle,Paul Skenes,away,0.512,0.488,-116.0,-105.0,0.52,0.48,0.423,0.577,0.53,0.47,0.107,1,0.53,away_win
