game_pk,game_date,home_team,away_team,home_win,sim_home_wp,kalshi_home_prob,edge,sim_total_runs,sim_home_runs,sim_away_runs,kalshi_volume
778214,2025-04-23,ATL,STL,1,0.458,0.62,-0.16199999999999998,11.087,5.232,5.855,52030.0
778209,2025-04-23,DET,SD,1,0.455,0.61,-0.15499999999999997,9.399000000000001,4.43,4.969,24171.0
778203,2025-04-23,NYM,PHI,1,0.329,0.47,-0.14099999999999996,8.79,3.477,5.313,80686.0
778208,2025-04-23,MIA,CIN,0,0.599,0.51,0.08899999999999997,8.03,4.292,3.738,27401.0
778206,2025-04-23,CLE,NYY,0,0.551,0.39,0.16100000000000003,8.0,4.227,3.773,26460.0
778204,2025-04-23,WSH,BAL,1,0.604,0.44,0.16399999999999998,9.545,5.133,4.412,48833.0
778207,2025-04-23,BOS,SEA,0,0.466,0.56,-0.09400000000000003,10.498999999999999,4.97,5.529,44176.0
778205,2025-04-23,CHC,LAD,1,0.429,0.56,-0.13100000000000006,9.119,4.117,5.002,77040.0
778200,2025-04-23,HOU,TOR,1,0.43,0.52,-0.09000000000000002,9.001000000000001,3.995,5.006,13218.0
778201,2025-04-23,MIN,CWS,1,0.541,0.72,-0.17899999999999994,8.772,4.421,4.351,29706.0
778202,2025-04-23,LAA,PIT,0,0.576,0.56,0.015999999999999903,7.863,4.187,3.676,32209.0
778199,2025-04-23,AZ,TB,0,0.589,0.61,-0.02100000000000002,9.248000000000001,4.992,4.256,89500.0
778198,2025-04-23,SF,MIL,1,0.466,0.57,-0.10399999999999993,9.033999999999999,4.25,4.784,36180.0
778197,2025-04-23,ATH,TEX,1,0.409,0.54,-0.13100000000000006,9.693000000000001,4.203,5.49,20661.0
778189,2025-04-24,MIN,CWS,0,0.317,0.68,-0.36300000000000004,8.985,3.452,5.533,93094.0
778196,2025-04-24,BOS,SEA,0,0.509,0.66,-0.15100000000000002,7.333,3.659,3.674,70671.0
778190,2025-04-24,KC,COL,1,0.62,0.73,-0.10999999999999999,10.337,5.676,4.661,27175.0
778195,2025-04-24,KC,COL,1,0.525,0.73,-0.20499999999999996,9.41,4.796,4.614,27175.0
778194,2025-04-24,SF,MIL,1,0.513,0.6,-0.08699999999999997,9.328,4.602,4.726,124565.0
778193,2025-04-24,WSH,BAL,0,0.264,0.54,-0.276,15.116999999999999,5.491,9.626,41795.0
778191,2025-04-24,LAA,PIT,1,0.284,0.6,-0.316,9.957,3.668,6.289,51511.0
