game_pk,game_date,season,home_team,away_team,home_win,lr_prob,xgb_prob,ens_prob,ens_calibrated,days_into_season,home_team_games_played,away_team_games_played,baseline_home,baseline_prior,kalshi_home_prob,kalshi_prob,model_prob,edge
777841,2025-05-20,2025,WSH,ATL,1,0.4792105551750284,0.5431959,0.5009318140466008,0.5080645161290323,63,48,47,0.5297880589299561,0.46946490781887384,0.39,0.39,0.5009318140466008,0.1109318140466008
777851,2025-05-20,2025,BOS,NYM,1,0.4500965060260931,0.46692702,0.4558100013732356,0.4346210995542348,63,49,48,0.5297880589299561,0.5032651019553497,0.44,0.44,0.4558100013732356,0.01581000137323557
777850,2025-05-20,2025,MIA,CHC,0,0.40651278699156856,0.43810272,0.4172366976960834,0.3870481927710843,63,46,48,0.5297880589299561,0.45936519288303335,0.43,0.43,0.4172366976960834,-0.01276330230391659
777845,2025-05-20,2025,TOR,SD,1,0.49442232471505493,0.4933449,0.49405656979083745,0.5034106412005458,63,46,45,0.5297880589299561,0.4660951435510165,0.5,0.5,0.49405656979083745,-0.005943430209162548
777831,2025-05-21,2025,BOS,NYM,0,0.608969129277488,0.58014584,0.5991844170608729,0.6065116279069768,64,50,49,0.5297880589299561,0.5032651019553497,0.58,0.58,0.5991844170608729,0.019184417060872927
777824,2025-05-21,2025,LAD,AZ,1,0.5576876706664383,0.5855104,0.5671327098840353,0.5682267633487147,64,49,49,0.5297880589299561,0.5604924661995417,0.6,0.6,0.5671327098840353,-0.032867290115964676
777828,2025-05-21,2025,ATH,LAA,0,0.5145043076135393,0.547529,0.5257152727177993,0.5347472924187723,64,49,47,0.5297880589299561,0.5902451183813527,0.6,0.6,0.5257152727177993,-0.0742847272822007
777823,2025-05-21,2025,COL,PHI,0,0.3128259128412692,0.3486957,0.3250027135534187,0.3473684210526316,64,48,48,0.5297880589299561,0.4160870094176843,0.35,0.35,0.3250027135534187,-0.02499728644658128
777837,2025-05-21,2025,TOR,SD,1,0.5674604074729741,0.58692527,0.5740681902005935,0.5682267633487147,64,47,46,0.5297880589299561,0.4660951435510165,0.6,0.6,0.5740681902005935,-0.025931809799406458
777835,2025-05-21,2025,NYY,TEX,1,0.5067326879876043,0.5422553,0.5187916279115355,0.5186500888099469,64,47,49,0.5297880589299561,0.5836822970271826,0.53,0.53,0.5187916279115355,-0.01120837208846448
777829,2025-05-21,2025,MIN,CLE,0,0.557463278695663,0.5497819,0.55485566902214,0.5347472924187723,64,48,47,0.5297880589299561,0.49456408885039,0.51,0.51,0.55485566902214,0.04485566902214
777830,2025-05-21,2025,CWS,SEA,0,0.46051389028348494,0.51653314,0.47953087747854606,0.48552338530066813,64,49,47,0.5297880589299561,0.3836201048293202,0.43,0.43,0.47953087747854606,0.049530877478546065
777827,2025-05-21,2025,STL,DET,0,0.5384455227070474,0.47471735,0.5168115673863262,0.5186500888099469,64,49,49,0.5297880589299561,0.5201733345609962,0.52,0.52,0.5168115673863262,-0.0031884326136738528
777826,2025-05-21,2025,MIL,BAL,0,0.550334809094111,0.65419084,0.5855910632619787,0.5682267633487147,64,49,47,0.5297880589299561,0.5370354793377826,0.52,0.52,0.5855910632619787,0.06559106326197872
777833,2025-05-21,2025,MIA,CHC,0,0.5119728968237779,0.47162676,0.49827649695998755,0.5080645161290323,64,47,49,0.5297880589299561,0.45936519288303335,0.43,0.43,0.49827649695998755,0.06827649695998755
777832,2025-05-21,2025,TB,HOU,1,0.43718640658198504,0.4310635,0.4351078498958202,0.4346210995542348,64,48,48,0.5297880589299561,0.5014155984851892,0.4,0.4,0.4351078498958202,0.035107849895820165
777834,2025-05-21,2025,PIT,CIN,1,0.4589854820594368,0.4836883,0.4673714048997235,0.45040650406504057,64,49,50,0.5297880589299561,0.5269258751724938,0.44,0.44,0.4673714048997235,0.027371404899723506
777819,2025-05-21,2025,SF,KC,0,0.634926118957602,0.6023665,0.6238730297795199,0.6221498371335505,64,49,50,0.5297880589299561,0.5100314594101275,0.66,0.66,0.6238730297795199,-0.03612697022048017
777821,2025-05-22,2025,DET,CLE,0,0.5667566874512349,0.6236101,0.586056844096283,0.5774647887323944,65,50,48,0.5297880589299561,0.508098481012912,0.55,0.55,0.586056844096283,0.03605684409628296
777818,2025-05-22,2025,NYY,TEX,1,0.5622689721449743,0.53261113,0.5522009542403207,0.5347472924187723,65,48,50,0.5297880589299561,0.5836822970271826,0.6,0.6,0.5522009542403207,-0.047799045759679304
777816,2025-05-22,2025,TOR,SD,1,0.5150123614620932,0.5009172,0.5102274420882311,0.5186500888099469,65,48,47,0.5297880589299561,0.4660951435510165,0.48,0.48,0.5102274420882311,0.030227442088231138
777817,2025-05-22,2025,COL,PHI,0,0.29639678692947563,0.38469896,0.3263729354641227,0.3473684210526316,65,49,49,0.5297880589299561,0.4160870094176843,0.29,0.29,0.3263729354641227,0.036372935464122735
777812,2025-05-22,2025,ATH,LAA,0,0.6057669792516591,0.5483349,0.5862703730423593,0.5774647887323944,65,50,48,0.5297880589299561,0.5902451183813527,0.56,0.56,0.5862703730423593,0.02627037304235924
777814,2025-05-22,2025,PIT,MIL,0,0.3673008941835539,0.42824244,0.38798886791366033,0.38627450980392153,65,50,50,0.5297880589299561,0.4728374586570489,0.49,0.49,0.38798886791366033,-0.10201113208633966
777820,2025-05-22,2025,WSH,ATL,1,0.5383034520418393,0.5569883,0.5446464416060852,0.5347472924187723,65,49,48,0.5297880589299561,0.46946490781887384,0.41,0.41,0.5446464416060852,0.13464644160608524
777822,2025-05-22,2025,HOU,SEA,1,0.4084618671885238,0.4390951,0.4188610071506925,0.3870481927710843,65,49,48,0.5297880589299561,0.5422359194388303,0.46,0.46,0.4188610071506925,-0.0411389928493075
777799,2025-05-23,2025,MIN,KC,1,0.6025331811499118,0.61784023,0.6077295017212357,0.6106557377049179,66,49,51,0.5297880589299561,0.5167941431709706,0.64,0.64,0.6077295017212357,-0.03227049827876427
777797,2025-05-23,2025,STL,AZ,1,0.5094523610567515,0.49746317,0.5053823606330136,0.5101580135440179,66,50,50,0.5297880589299561,0.5100314594101276,0.49,0.49,0.5053823606330136,0.01538236063301357
777810,2025-05-23,2025,TB,TOR,1,0.570455102783303,0.53554213,0.5586031127294011,0.5660377358490566,66,49,49,0.5297880589299561,0.5504663209380105,0.56,0.56,0.5586031127294011,-0.0013968872705989455
777798,2025-05-23,2025,LAA,MIA,1,0.5976086905580279,0.63755786,0.6111703318955937,0.6106557377049179,66,49,48,0.5297880589299561,0.5336685796952796,0.6,0.6,0.6111703318955937,0.011170331895593688
777804,2025-05-23,2025,ATH,PHI,0,0.26873155560254375,0.25831318,0.265194804432432,0.2692307692307692,66,51,50,0.5297880589299561,0.4829687678242209,0.34,0.34,0.265194804432432,-0.07480519556756804
777800,2025-05-23,2025,HOU,SEA,0,0.5245712891946246,0.5644101,0.5380954621571223,0.5347472924187723,66,50,49,0.5297880589299561,0.5422359194388303,0.52,0.52,0.5380954621571223,0.018095462157122322
777802,2025-05-23,2025,COL,NYY,1,0.3476338607124924,0.33177027,0.3422486100652258,0.37823834196891193,66,50,49,0.5297880589299561,0.4193792196434934,0.28,0.28,0.3422486100652258,0.06224861006522575
777805,2025-05-23,2025,CWS,TEX,1,0.47099496715045625,0.47354162,0.4718594845877179,0.459546925566343,66,50,51,0.5297880589299561,0.40625629330735985,0.36,0.36,0.4718594845877179,0.11185948458771794
777811,2025-05-23,2025,CIN,CHC,0,0.5212452316678633,0.55090904,0.5313152762951971,0.5347472924187723,66,51,50,0.5297880589299561,0.5100314594101275,0.49,0.49,0.5313152762951971,0.041315276295197156
777808,2025-05-23,2025,NYM,LAD,0,0.5639868959936217,0.5935717,0.5740301276739502,0.5682267633487147,66,50,50,0.5297880589299561,0.49988131970881877,0.53,0.53,0.5740301276739502,0.0440301276739502
777807,2025-05-23,2025,DET,CLE,0,0.5208836474378564,0.49247798,0.5112407088025357,0.5186500888099469,66,51,49,0.5297880589299561,0.508098481012912,0.52,0.52,0.5112407088025357,-0.008759291197464325
